2024-11-21 16:59:29 ERROR DOWNLOAD ERROR: download failed for file pbar_run_432854-21-11-2024-16_50_52.JDIR.
2024-11-21 16:59:51 INFO finding looplift candidates
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 16:59:52 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius1
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius1
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius1
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius1
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius1
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius1
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius1
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius1
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius1
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius1
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius1
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius1
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius3
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius3
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius3
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius3
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius3
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius3
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius3
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius3
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius3
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius3
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius3
2024-11-21 16:59:52 INFO INFO: no config file for detector captorius3
2024-11-21 16:59:52 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 16:59:52 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 16:59:52 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 16:59:52 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 16:59:52 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 16:59:52 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 16:59:52 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 16:59:52 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 16:59:52 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 16:59:52 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 16:59:52 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 16:59:52 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 16:59:52 INFO INFO: no config file for detector HVPulseMon
2024-11-21 16:59:52 INFO INFO: no config file for detector HVPulseMon
2024-11-21 16:59:52 INFO INFO: no config file for detector HVPulseMon
2024-11-21 16:59:52 INFO INFO: no config file for detector HVPulseMon
2024-11-21 16:59:52 INFO INFO: no config file for detector HVPulseMon
2024-11-21 16:59:52 INFO INFO: no config file for detector HVPulseMon
2024-11-21 16:59:52 INFO INFO: no config file for detector HVPulseMon
2024-11-21 16:59:52 INFO INFO: no config file for detector HVPulseMon
2024-11-21 16:59:52 INFO INFO: no config file for detector HVPulseMon
